Make,Model,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Aircraft.damage,Broad.phase.of.flight
Piper,PA-28RT-201T,0,1,0,0,Substantial,Descent
Bellanca,7ECA,0,0,0,1,Substantial,Approach
Cessna,177RG,0,0,0,1,Substantial,Landing
Cessna,210,0,0,0,3,Substantial,Landing
Cessna,210,0,0,2,0,Substantial,Approach
Boeing,727-235,0,1,1,51,Substantial,Takeoff
Piper,PA-23,0,0,0,6,Substantial,Approach
Embraer,EMB-11OP1,0,0,0,16,Minor,Takeoff
Beech,A36,1,0,0,0,Destroyed,Cruise
Piper,PA-28-140,1,0,0,0,Destroyed,Cruise
Cessna,T210N,0,0,0,1,Substantial,Approach
Great Lakes,2T1A-2,0,0,0,1,Substantial,Taxi
Boeing,B-727-200,0,0,0,83,Unknown,Landing
Piper,PA-44-180T,0,0,0,3,Substantial,Descent
Balloon Works,FIREFLY,0,0,0,3,Substantial,Landing
Cessna,172H,0,0,0,1,Substantial,Landing
Cessna,180,0,0,0,1,Substantial,Landing
Cessna,172A,0,0,0,2,Substantial,Takeoff
Beech,58,0,0,0,1,Substantial,Approach
Cessna,P206B,0,0,0,1,Substantial,Landing
Bell,47G2,0,0,0,1,Substantial,Cruise
Cessna,404,0,0,0,7,Substantial,Landing
Pitts,51,0,0,1,0,Destroyed,Maneuvering
Cessna,172L,1,1,0,0,Destroyed,Approach
Cessna,182Q,2,0,0,0,Destroyed,Maneuvering
Piper,PA-36-375,1,0,0,0,Destroyed,Maneuvering
Piper,PA-28-161,0,0,0,1,Substantial,Landing
Cessna,152,0,0,0,1,Substantial,Landing
Cessna,172N,0,0,0,3,Substantial,Takeoff
Cessna,150M,0,0,0,2,Substantial,Takeoff
Cessna,140,0,0,0,1,Substantial,Maneuvering
Beech,56TC,0,0,0,1,Substantial,Takeoff
Cessna,150,0,0,0,2,Substantial,Approach
Grumman,G-21A,0,0,0,2,Substantial,Cruise
Piper,PA-22-150,0,2,0,0,Destroyed,Takeoff
Piper,PA-28-181,0,4,0,0,Destroyed,Landing
Piper,PA-28-180,1,0,0,0,Destroyed,Cruise
De Havilland,DHC-6,1,10,1,0,Destroyed,Cruise
Grumman,AA-5A,0,0,0,4,Substantial,Takeoff
Piper,PA-32R-301T,0,0,0,1,Substantial,Cruise
Cessna,152,0,0,0,1,Substantial,Takeoff
